Time;Step;Training Loss;Validation Loss;Full Validation Loss
20:03:21;1789;0,3258;-;-
20:03:19;1788;0,9059;-;-
20:03:17;1787;0,4961;-;-
20:03:15;1786;0,4511;-;-
20:03:15;1785;0,2706;-;-
20:03:13;1784;0,2091;-;-
20:03:11;1783;0,4859;-;-
20:03:09;1782;0,2458;-;-
20:03:09;1781;0,1493;-;-
20:03:07;1780;0,2564;-;-
20:03:05;1779;0,5581;-;-
20:03:03;1778;0,2324;-;-
20:03:01;1777;0,3644;-;-
20:03:01;1776;0,4168;-;-
20:02:59;1775;0,2623;-;-
20:02:57;1774;0,1717;-;-
20:02:55;1773;0,1593;-;-
20:02:55;1772;0,3511;-;-
20:02:53;1771;0,2639;-;-
20:02:51;1770;0,604;-;-
20:02:49;1769;0,3098;-;-
20:02:49;1768;0,1094;-;-
20:02:47;1767;0,4675;-;-
20:02:45;1766;0,3249;-;-
20:02:43;1765;0,5359;-;-
20:02:43;1764;0,196;-;-
20:02:41;1763;0,473;-;-
20:02:39;1762;0,1818;-;-
20:02:37;1761;0,2624;-;-
20:02:37;1760;0,6063;-;-
20:02:35;1759;0,3455;-;-
20:02:33;1758;0,4191;-;-
20:02:31;1757;0,4971;-;-
20:02:29;1756;0,1968;-;-
20:02:29;1755;0,2846;-;-
20:02:27;1754;0,303;-;-
20:02:25;1753;0,4492;-;-
20:02:23;1752;0,3344;-;-
20:02:23;1751;0,5133;-;-
20:02:21;1750;0,1336;-;-
20:02:19;1749;0,3276;-;-
20:02:17;1748;0,1415;-;-
20:02:17;1747;0,5489;-;-
20:02:15;1746;0,4896;-;-
20:02:13;1745;0,1501;-;-
20:02:11;1744;0,226;-;-
20:01:58;1743;0,4063;-;-
20:01:56;1742;0,3405;-;-
20:01:54;1741;0,1313;-;-
20:01:52;1740;0,3292;-;-
20:01:52;1739;0,2259;-;-
20:01:50;1738;0,4079;-;-
20:01:48;1737;0,4498;-;-
20:01:46;1736;0,305;-;-
20:01:44;1735;0,2564;-;-
20:01:44;1734;0,3601;-;-
20:01:42;1733;0,1835;-;-
20:01:40;1732;0,1506;-;-
20:01:38;1731;0,4252;-;-
20:01:38;1730;0,3139;-;-
20:01:36;1729;0,1335;-;-
20:01:34;1728;0,2032;-;-
20:01:32;1727;0,3622;-;-
20:01:32;1726;0,2937;-;-
20:01:30;1725;0,6456;-;-
20:01:28;1724;0,4296;-;-
20:01:26;1723;0,2106;-;-
20:01:26;1722;0,4383;-;-
20:01:24;1721;0,4286;-;-
20:01:22;1720;0,2118;-;-
20:01:20;1719;0,3836;-;-
20:01:20;1718;0,378;-;-
20:01:18;1717;0,186;-;-
20:01:16;1716;0,2711;-;-
20:01:14;1715;0,418;-;-
20:01:14;1714;0,459;-;-
20:01:12;1713;0,2261;-;-
20:01:10;1712;0,3922;-;-
20:01:08;1711;0,2709;-;-
20:01:08;1710;0,5022;-;-
20:01:06;1709;0,3113;-;-
20:01:04;1708;0,2308;-;-
20:01:02;1707;0,4388;-;-
20:01:02;1706;0,2102;-;-
20:01:00;1705;0,2946;-;-
20:00:58;1704;0,1671;-;-
20:00:56;1703;0,1279;-;-
20:00:56;1702;0,2384;-;-
20:00:54;1701;0,3104;-;-
20:00:52;1700;0,2524;0,6939;-
20:00:50;1699;0,2706;-;-
20:00:48;1698;0,2117;-;-
20:00:48;1697;0,2953;-;-
20:00:46;1696;0,5155;-;-
20:00:44;1695;0,3651;-;-
20:00:42;1694;0,3426;-;-
20:00:42;1693;0,2619;-;-
20:00:40;1692;0,1145;-;-
20:00:38;1691;0,2739;-;-
20:00:36;1690;0,4307;-;-
20:00:36;1689;0,4904;-;-
20:00:34;1688;0,3707;-;-
20:00:32;1687;0,2007;-;-
20:00:30;1686;0,295;-;-
20:00:30;1685;0,3218;-;-
20:00:28;1684;0,1424;-;-
20:00:26;1683;0,365;-;-
20:00:24;1682;0,4588;-;-
20:00:24;1681;0,6138;-;-
20:00:22;1680;0,3778;-;-
20:00:20;1679;0,3862;-;-
20:00:18;1678;0,7225;-;-
20:00:18;1677;0,2795;-;-
20:00:16;1676;0,4028;-;-
20:00:14;1675;0,0794;-;-
20:00:12;1674;0,3559;-;-
20:00:12;1673;0,3074;-;-
20:00:10;1672;0,1581;-;-
20:00:07;1671;0,5137;-;-
20:00:05;1670;0,2954;-;-
20:00:05;1669;1,292;-;-
20:00:03;1668;0,3177;-;-
20:00:01;1667;0,2841;-;-
19:59:59;1666;0,1188;-;-
19:59:59;1665;0,2728;-;-
19:59:57;1664;0,4515;-;-
19:59:55;1663;0,2004;-;-
19:59:53;1662;0,422;-;-
19:59:53;1661;0,2019;-;-
19:59:51;1660;0,132;-;-
19:59:49;1659;0,2258;-;-
19:59:47;1658;0,3588;-;-
19:59:45;1657;0,1193;-;-
19:59:45;1656;0,9234;-;-
19:59:43;1655;0,2436;-;-
19:59:41;1654;0,1903;-;-
19:59:39;1653;0,5313;-;-
19:59:39;1652;0,0884;-;-
19:59:37;1651;0,3087;-;-
19:59:35;1650;0,3921;-;-
19:59:33;1649;0,3261;-;-
19:59:33;1648;0,217;-;-
19:59:31;1647;0,4884;-;-
19:59:29;1646;0,5093;-;-
19:59:27;1645;0,1519;-;-
19:59:27;1644;0,1235;-;-
19:59:25;1643;0,3355;-;-
19:59:23;1642;0,3394;-;-
19:59:21;1641;0,393;-;-
19:59:19;1640;0,2445;-;-
19:59:19;1639;0,1608;-;-
19:59:17;1638;0,3994;-;-
19:59:15;1637;0,3537;-;-
19:59:13;1636;0,3054;-;-
19:59:13;1635;0,2591;-;-
19:59:11;1634;0,445;-;-
19:59:09;1633;0,4013;-;-
19:59:07;1632;0,3035;-;-
19:59:07;1631;0,4098;-;-
19:59:05;1630;0,2804;-;-
19:59:03;1629;0,4486;-;-
19:59:01;1628;0,2864;-;-
19:59:01;1627;0,2217;-;-
19:58:59;1626;0,4497;-;-
19:58:57;1625;0,7295;-;-
19:58:55;1624;0,4111;-;-
19:58:55;1623;0,3331;-;-
19:58:53;1622;0,32;-;-
19:58:51;1621;0,227;-;-
19:58:49;1620;0,4812;-;-
19:58:47;1619;0,3578;-;-
19:58:47;1618;0,3713;-;-
19:58:45;1617;0,5371;-;-
19:58:43;1616;0,2289;-;-
19:58:41;1615;0,1809;-;-
19:58:41;1614;0,1767;-;-
19:58:39;1613;0,5612;-;-
19:58:37;1612;0,4494;-;-
19:58:35;1611;0,2314;-;-
19:58:35;1610;0,2471;-;-
19:58:33;1609;0,3821;-;-
19:58:31;1608;0,2108;-;-
19:58:29;1607;0,3357;-;-
